  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       5.000 |        0.197 |        3.105 |        3.301
      10.000 |        0.101 |        2.487 |        2.589
       9.000 |        0.161 |        1.026 |        1.187
       6.000 |        0.125 |        2.737 |        2.862
       8.000 |        0.158 |        0.691 |        0.849
       6.000 |        0.171 |        0.946 |        1.116
       6.000 |        0.130 |        2.122 |        2.252
      10.000 |        0.083 |        2.075 |        2.157
       8.000 |        0.137 |        1.903 |        2.040
       8.000 |        0.301 |        0.828 |        1.129
       6.000 |        0.222 |        0.806 |        1.028
      11.000 |        0.132 |        2.816 |        2.947
       7.000 |        0.185 |        2.818 |        3.003
      10.000 |        0.115 |        1.576 |        1.691
       6.000 |        0.139 |        2.417 |        2.557
       8.000 |        0.165 |        0.676 |        0.841
       9.000 |        0.122 |        0.734 |        0.856
       7.000 |        0.156 |        0.655 |        0.811
      12.000 |        0.129 |        1.385 |        1.514
       6.000 |        0.678 |        0.579 |        1.257
       8.000 |        0.592 |        0.965 |        1.557
      13.000 |        0.233 |        4.519 |        4.751
       7.000 |        0.082 |        2.493 |        2.574
      13.000 |        0.085 |        0.778 |        0.863
       3.000 |        0.140 |        3.052 |        3.192
       5.000 |        0.138 |        1.725 |        1.863
       9.000 |        0.436 |        0.587 |        1.023
       9.000 |        0.174 |        1.275 |        1.449
       8.000 |        0.155 |        0.911 |        1.066
       5.000 |        0.133 |        1.335 |        1.467
       5.000 |        0.253 |        1.184 |        1.437
      10.000 |        0.186 |        1.670 |        1.856
       7.000 |        0.319 |        1.323 |        1.641
      10.000 |        0.144 |        0.603 |        0.747
       6.000 |        0.086 |        1.887 |        1.972
       4.000 |        0.268 |        0.958 |        1.226
      12.000 |        0.121 |        0.732 |        0.853
       6.000 |        0.205 |        1.658 |        1.863
       4.000 |        0.204 |        0.825 |        1.028
      10.000 |        0.237 |        1.024 |        1.261
      13.000 |        0.524 |        1.998 |        2.522
       7.000 |        0.150 |        2.836 |        2.986
       8.000 |        0.543 |        2.163 |        2.706
       4.000 |        0.995 |        1.156 |        2.151
      12.000 |        0.886 |        0.748 |        1.634
      10.000 |        0.736 |        0.828 |        1.563
      12.000 |        0.096 |        0.673 |        0.769
       9.000 |        0.692 |        1.243 |        1.936
       5.000 |        0.056 |        0.586 |        0.642
       7.000 |        0.131 |        1.271 |        1.402
      10.000 |        0.195 |        1.058 |        1.253
       9.000 |        0.330 |        2.654 |        2.983
       9.000 |        0.113 |        2.998 |        3.111
       9.000 |        0.296 |        1.123 |        1.418
       9.000 |        0.173 |        2.841 |        3.014
      13.000 |        0.175 |        0.537 |        0.712
      17.000 |        0.290 |        0.946 |        1.236
      11.000 |        0.150 |        0.981 |        1.131
      13.000 |        0.144 |        0.894 |        1.038
       5.000 |        0.254 |        0.795 |        1.049
       6.000 |        0.171 |        0.939 |        1.110
      10.000 |        0.084 |        0.575 |        0.659
       4.000 |        0.548 |        0.998 |        1.547
      12.000 |        0.147 |        1.961 |        2.108
      16.000 |        0.066 |        0.696 |        0.763
      11.000 |        0.068 |        0.577 |        0.645
      11.000 |        0.073 |        2.974 |        3.047
      10.000 |        0.243 |        1.404 |        1.646
      10.000 |        0.469 |        0.896 |        1.364
       8.000 |        0.068 |        2.070 |        2.137
       8.000 |        0.170 |        5.584 |        5.754
       8.000 |        0.133 |        1.390 |        1.522
       8.000 |        0.184 |        3.539 |        3.723
      13.000 |        0.225 |        1.071 |        1.296
       7.000 |        1.308 |        3.362 |        4.670
       6.000 |        0.150 |        0.972 |        1.122
       3.000 |        0.114 |        2.610 |        2.724
      12.000 |        0.094 |        1.705 |        1.799
      11.000 |        0.099 |        3.451 |        3.550
       7.000 |        1.046 |        0.855 |        1.901
       8.000 |        1.126 |        1.339 |        2.465
      12.000 |        0.257 |        1.868 |        2.125
       7.000 |        0.083 |        1.441 |        1.524
      10.000 |        0.079 |        1.756 |        1.836
      16.000 |        0.224 |        0.979 |        1.203
       9.000 |        0.093 |        1.003 |        1.096
      12.000 |        0.231 |        1.248 |        1.479
       6.000 |        0.150 |        2.949 |        3.099
      14.000 |        0.162 |        2.599 |        2.760
       7.000 |        0.125 |        0.757 |        0.882
       9.000 |        0.110 |        1.127 |        1.237
      12.000 |        0.237 |        0.519 |        0.756
      12.000 |        0.126 |        3.479 |        3.604
       7.000 |        0.150 |        2.008 |        2.157
       9.000 |        0.146 |        2.234 |        2.379
       7.000 |        0.208 |        4.176 |        4.385
       7.000 |        0.207 |        1.061 |        1.268
       5.000 |        0.239 |        1.293 |        1.532
       5.000 |        0.298 |        2.135 |        2.432
       8.000 |        0.218 |        0.472 |        0.690
      12.000 |        0.196 |        0.826 |        1.022
      10.000 |        0.311 |        1.684 |        1.995
       7.000 |        0.144 |        1.774 |        1.918
       6.000 |        0.232 |        3.662 |        3.894
       5.000 |        0.257 |        1.819 |        2.076
       7.000 |        0.214 |        1.549 |        1.763
      11.000 |        0.155 |        0.611 |        0.766
       9.000 |        0.253 |        1.097 |        1.349
       4.000 |        0.224 |        3.690 |        3.914
      10.000 |        0.232 |        1.373 |        1.605
      10.000 |        0.158 |        0.569 |        0.727
       7.000 |        0.195 |        1.144 |        1.339
       6.000 |        0.179 |        1.496 |        1.675
       6.000 |        0.126 |        3.405 |        3.531
       7.000 |        0.138 |        0.792 |        0.929
       8.000 |        0.196 |        0.600 |        0.796
      11.000 |        0.075 |        2.006 |        2.081
       9.000 |        0.191 |        0.880 |        1.070
      10.000 |        0.111 |        1.283 |        1.393
       9.000 |        0.230 |        0.711 |        0.941
      12.000 |        0.199 |        4.390 |        4.589
       7.000 |        0.451 |        0.728 |        1.179
      11.000 |        0.223 |        0.953 |        1.176
       5.000 |        0.132 |        0.662 |        0.793
      10.000 |        0.213 |        1.885 |        2.098
      10.000 |        0.137 |        1.690 |        1.827
       9.000 |        0.159 |        4.723 |        4.882
       9.000 |        0.131 |        4.246 |        4.378
       9.000 |        0.127 |        1.331 |        1.457
      10.000 |        0.257 |        3.192 |        3.449
       9.000 |        0.100 |        1.352 |        1.452
      13.000 |        0.072 |        2.332 |        2.404
       6.000 |        0.236 |        0.939 |        1.175
      11.000 |        0.208 |        3.444 |        3.652
       5.000 |        0.086 |        0.595 |        0.682
      16.000 |        0.215 |        0.992 |        1.207
       5.000 |        0.262 |        0.655 |        0.918
      11.000 |        0.171 |        0.703 |        0.874
       8.000 |        0.154 |        0.833 |        0.987
      10.000 |        0.105 |        0.900 |        1.005
       7.000 |        0.280 |        0.945 |        1.225
       8.000 |        0.299 |        1.106 |        1.405
       7.000 |        0.150 |        0.921 |        1.071
       5.000 |        0.167 |        0.856 |        1.023
       7.000 |        0.216 |        2.564 |        2.780
      10.000 |        0.215 |        3.520 |        3.735
       7.000 |        0.194 |        0.973 |        1.167
       6.000 |        0.115 |        3.292 |        3.407
       7.000 |        0.151 |        0.697 |        0.848
      13.000 |        0.151 |        1.664 |        1.815
      12.000 |        0.137 |        1.047 |        1.185
       5.000 |        0.149 |        0.958 |        1.107
      10.000 |        0.077 |        1.007 |        1.084
      13.000 |        0.200 |        1.837 |        2.037
      15.000 |        0.129 |        0.947 |        1.077
      11.000 |        0.091 |        3.173 |        3.264
       4.000 |        0.214 |        1.494 |        1.709
       7.000 |        0.078 |        0.869 |        0.948
      12.000 |        0.176 |        1.984 |        2.160
       6.000 |        0.176 |        0.866 |        1.042
      15.000 |        0.139 |        2.129 |        2.268
       7.000 |        0.199 |        0.588 |        0.787
       6.000 |        0.162 |        0.640 |        0.802
       8.000 |        0.231 |        1.228 |        1.459
       7.000 |        0.248 |        1.256 |        1.505
      13.000 |        0.394 |        0.589 |        0.983
       8.000 |        0.093 |        1.424 |        1.517
      12.000 |        0.116 |        0.937 |        1.053
       6.000 |        0.220 |        0.529 |        0.749
      13.000 |        0.209 |        2.262 |        2.471
       8.000 |        0.238 |        0.884 |        1.122
       6.000 |        0.703 |        0.758 |        1.461
       9.000 |        0.249 |        2.731 |        2.979
       6.000 |        0.202 |        3.428 |        3.629
      19.000 |        0.174 |        0.726 |        0.899
       7.000 |        0.130 |        1.245 |        1.376
       9.000 |        0.180 |        1.327 |        1.507
      15.000 |        0.137 |        0.651 |        0.788
       8.000 |        0.100 |        0.594 |        0.693
       8.000 |        0.204 |        0.878 |        1.082
      12.000 |        0.098 |        0.801 |        0.899
       7.000 |        0.131 |        0.510 |        0.642
       6.000 |        0.173 |        0.534 |        0.707
      11.000 |        0.154 |        1.821 |        1.975
       8.000 |        0.199 |        2.265 |        2.463
      10.000 |        0.172 |        0.606 |        0.778
       9.000 |        0.103 |        0.849 |        0.952
       3.000 |        0.103 |        1.100 |        1.203
       8.000 |        0.120 |        0.786 |        0.905
       9.000 |        0.130 |        1.766 |        1.896
      10.000 |        0.165 |        0.754 |        0.918
       8.000 |        0.188 |        1.695 |        1.883
       6.000 |        0.252 |        1.963 |        2.215
       6.000 |        0.213 |        0.446 |        0.659
       6.000 |        0.251 |        0.927 |        1.179
      12.000 |        0.155 |        0.726 |        0.881
       8.000 |        0.169 |        0.998 |        1.167
      10.000 |        0.080 |        1.199 |        1.279
      12.000 |        0.092 |        1.245 |        1.337
       9.000 |        0.205 |        0.853 |        1.058
       9.000 |        0.187 |        0.834 |        1.021
       9.000 |        0.100 |        1.505 |        1.606
       7.000 |        0.148 |        2.280 |        2.428
       9.000 |        0.226 |        1.355 |        1.581
       8.000 |        0.286 |        1.282 |        1.568
       5.000 |        0.239 |        1.051 |        1.290
       6.000 |        0.304 |        2.697 |        3.001
       4.000 |        0.196 |        0.866 |        1.063
       6.000 |        0.198 |        1.596 |        1.793
       8.000 |        0.071 |        0.609 |        0.679
       5.000 |        0.196 |        2.456 |        2.652
      11.000 |        0.074 |        1.822 |        1.896
       6.000 |        0.302 |        0.607 |        0.909
       5.000 |        0.294 |        2.540 |        2.834
      10.000 |        0.283 |        0.989 |        1.271
      11.000 |        0.162 |        0.550 |        0.712
      10.000 |        0.152 |        0.850 |        1.001
       9.000 |        0.211 |        2.663 |        2.874
       5.000 |        0.097 |        2.190 |        2.287
       9.000 |        0.293 |        0.816 |        1.109
       6.000 |        0.157 |        1.032 |        1.189
       7.000 |        0.189 |        2.433 |        2.623
      11.000 |        0.171 |        0.583 |        0.753
      12.000 |        0.145 |        0.755 |        0.899
       7.000 |        0.255 |        3.287 |        3.542
      14.000 |        0.096 |        0.908 |        1.004
      12.000 |        0.145 |        1.368 |        1.513
      15.000 |        0.260 |        1.313 |        1.573
      12.000 |        0.075 |        3.090 |        3.165
      12.000 |        0.101 |        0.542 |        0.643
      11.000 |        0.250 |        1.678 |        1.928
       7.000 |        0.329 |        3.611 |        3.940
       7.000 |        0.252 |        1.514 |        1.766
       7.000 |        0.204 |        1.890 |        2.094
      10.000 |        0.147 |        1.160 |        1.306
      11.000 |        0.156 |        1.006 |        1.162
       4.000 |        0.177 |        2.056 |        2.233
       7.000 |        0.154 |        0.821 |        0.975
       8.000 |        0.133 |        0.722 |        0.855
       7.000 |        0.213 |        3.338 |        3.551
       7.000 |        0.368 |        0.724 |        1.091
      14.000 |        0.098 |        1.939 |        2.037
       9.000 |        0.478 |        1.099 |        1.576
       6.000 |        0.982 |        0.557 |        1.539
       8.000 |        0.141 |        2.308 |        2.448
       7.000 |        0.182 |        1.096 |        1.278
       5.000 |        0.236 |        1.611 |        1.847
       8.000 |        0.382 |        0.852 |        1.234
      10.000 |        0.203 |        3.666 |        3.869
       7.000 |        0.138 |        1.871 |        2.009
      10.000 |        0.202 |        0.695 |        0.897
       9.000 |        0.162 |        0.630 |        0.793
      11.000 |        0.173 |        1.373 |        1.546
       9.000 |        0.101 |        2.576 |        2.676
      12.000 |        0.204 |        0.964 |        1.168
       9.000 |        0.231 |        1.202 |        1.433
       7.000 |        0.159 |        0.571 |        0.730
       7.000 |        0.234 |        0.770 |        1.004
       9.000 |        0.336 |        0.715 |        1.051
      10.000 |        0.306 |        1.212 |        1.518
      12.000 |        0.253 |        1.010 |        1.263
      10.000 |        0.173 |        1.265 |        1.438
       9.000 |        0.150 |        1.401 |        1.551
      15.000 |        0.098 |        0.762 |        0.860
      13.000 |        0.166 |        1.164 |        1.330
       5.000 |        0.227 |        2.098 |        2.325
       6.000 |        0.158 |        0.713 |        0.872
      12.000 |        0.165 |        2.800 |        2.965
       7.000 |        0.741 |        0.963 |        1.704
      12.000 |        0.120 |        4.040 |        4.160
       8.000 |        0.284 |        3.893 |        4.177
       7.000 |        0.217 |        0.829 |        1.046
       4.000 |        0.126 |        1.921 |        2.046
       9.000 |        0.137 |        2.939 |        3.077
       5.000 |        0.131 |        0.595 |        0.726
      11.000 |        0.165 |        0.799 |        0.964
       7.000 |        0.243 |        0.828 |        1.071
       7.000 |        0.120 |        0.995 |        1.115
       7.000 |        0.171 |        2.675 |        2.846
      11.000 |        0.495 |        1.914 |        2.409
      12.000 |        0.074 |        2.425 |        2.500
       8.000 |        0.191 |        1.827 |        2.019
      10.000 |        0.085 |        0.398 |        0.483
      17.000 |        0.289 |        3.225 |        3.514
      11.000 |        0.134 |        0.581 |        0.714
       8.000 |        0.118 |        1.019 |        1.136
       5.000 |        0.122 |        1.936 |        2.058
       7.000 |        0.184 |        0.900 |        1.085
       6.000 |        0.085 |        1.094 |        1.179
      12.000 |        0.699 |        1.467 |        2.166
       8.000 |        0.099 |        2.494 |        2.592
       7.000 |        0.144 |        2.000 |        2.144
       6.000 |        0.112 |        0.640 |        0.752
      16.000 |        0.180 |        0.958 |        1.137
      12.000 |        0.175 |        1.785 |        1.960
       6.000 |        0.227 |        2.129 |        2.356
       7.000 |        0.158 |        0.592 |        0.750
       5.000 |        0.160 |        3.669 |        3.830
      11.000 |        0.172 |        0.760 |        0.933
      11.000 |        0.260 |        0.816 |        1.077
