p95, p99, cpufreq, cpunumber, qps, energyconsumption
26416.296655050002,27534.276082559998,1.0GHz,7,4500,3066350853
35371.78490345,36893.77647451,1.0GHz,7,5000,3398030180
44789.68649569999,46662.553522300004,1.0GHz,7,5500,3741153265
54186.7604225,56454.7659387,1.0GHz,7,6000,4084039410
5.6747178499999995,6.546852989999999,1.0GHz,8,500,1633292998
5.6615834,6.54610243,1.0GHz,8,1000,1812239807
5.674314200000001,6.5688881399999985,1.0GHz,8,1500,1914172163
5.724491049999999,6.63578427,1.0GHz,8,2000,1992731654
5.952864299999996,7.048823420000008,1.0GHz,8,2500,2061733552
7.37159015,10.04971628000001,1.0GHz,8,3000,2118829842
855.1575141499997,915.25441132,1.0GHz,8,3500,2194412717
8782.09866705,9190.02086962,1.0GHz,8,4000,2490129184
17256.914344699995,17990.42858958,1.0GHz,8,4500,2808470167
26425.684127549997,27575.432963450003,1.0GHz,8,5000,3170590150
34404.369024399995,35847.48458995001,1.0GHz,8,5500,3466913000
42703.69275269999,44488.48788074,1.0GHz,8,6000,3782147849
5.70807105,6.567500759999996,1.0GHz,9,500,1587255459
5.694866149999999,6.5727042099999995,1.0GHz,9,1000,1812675352
5.700498900000004,6.59349763,1.0GHz,9,1500,1932104245
5.7452622999999985,6.655213219999999,1.0GHz,9,2000,2022314097
5.8232563,6.775094970000008,1.0GHz,9,2500,2095351875
6.2318242999999995,7.716619310000001,1.0GHz,9,3000,2162388751
11.0283325,15.246150610000011,1.0GHz,9,3500,2227294103
3450.7679796999996,3632.54740919,1.0GHz,9,4000,2384426574
11096.140035049999,11578.956672180002,1.0GHz,9,4500,2685179100
18870.08595185,19685.37298671,1.0GHz,9,5000,2996641682
26160.9129612,27267.376449090003,1.0GHz,9,5500,3281050500
33208.8276088,34588.12904692,1.0GHz,9,6000,3551685671
5.754043949999999,6.615486629999999,1.0GHz,10,500,1574811337
5.745163949999995,6.64018899,1.0GHz,10,1000,1847514985
5.7601008,6.668399199999998,1.0GHz,10,1500,1957489435
5.775178599999997,6.68178351,1.0GHz,10,2000,2043749773
5.837825749999999,6.781212340000008,1.0GHz,10,2500,2121242739
6.085603249999999,7.280211620000002,1.0GHz,10,3000,2197471791
