  QueueTimes | ServiceTimes | SojournTimes
       0.278 |        0.312 |        0.589
       0.163 |        0.655 |        0.818
       0.164 |        1.341 |        1.505
       0.835 |        1.582 |        2.417
       0.186 |        2.055 |        2.241
       0.168 |        0.705 |        0.872
       0.162 |        0.348 |        0.510
       0.181 |        0.663 |        0.845
       0.179 |        0.691 |        0.870
       0.180 |        0.718 |        0.898
       0.391 |        0.424 |        0.815
       0.158 |        0.809 |        0.967
       0.169 |        1.292 |        1.462
       0.731 |        0.357 |        1.088
       0.773 |        2.845 |        3.618
       3.591 |        1.463 |        5.053
       4.928 |        0.662 |        5.590
       1.601 |        0.465 |        2.066
       1.242 |        0.377 |        1.618
       1.023 |        0.926 |        1.949
       0.177 |        1.390 |        1.567
       0.691 |        1.894 |        2.585
       2.331 |        0.590 |        2.920
       2.516 |        2.258 |        4.774
       0.486 |        0.902 |        1.388
       0.175 |        1.727 |        1.902
       1.292 |        0.708 |        2.000
       1.556 |        1.366 |        2.921
       0.130 |        1.111 |        1.241
       1.039 |        0.641 |        1.680
       1.374 |        0.872 |        2.245
       1.574 |        0.516 |        2.090
       0.181 |        1.273 |        1.453
       0.321 |        0.857 |        1.178
       0.651 |        0.710 |        1.361
       0.184 |        0.786 |        0.971
       0.192 |        1.888 |        2.080
       2.080 |        0.569 |        2.649
       1.976 |        0.481 |        2.457
       1.967 |        1.586 |        3.553
       0.176 |        0.759 |        0.935
       0.825 |        0.374 |        1.199
       0.178 |        2.218 |        2.397
       0.171 |        0.338 |        0.509
       0.185 |        2.429 |        2.613
       2.165 |        1.088 |        3.253
       2.780 |        1.308 |        4.088
       0.185 |        0.756 |        0.940
       0.188 |        0.904 |        1.091
       0.188 |        1.446 |        1.633
       0.191 |        2.011 |        2.202
       0.767 |        0.283 |        1.050
       0.699 |        0.511 |        1.210
       0.198 |        0.861 |        1.059
       0.132 |        1.160 |        1.293
       0.152 |        1.212 |        1.364
       0.175 |        1.065 |        1.240
       0.176 |        2.371 |        2.547
       1.217 |        0.389 |        1.606
       0.192 |        0.847 |        1.038
       0.160 |        0.782 |        0.942
       0.181 |        1.809 |        1.990
       0.186 |        0.406 |        0.592
       0.165 |        1.153 |        1.317
       1.115 |        0.579 |        1.693
       0.175 |        0.631 |        0.805
       0.134 |        1.211 |        1.345
       0.994 |        0.394 |        1.388
       0.177 |        2.856 |        3.033
       0.164 |        0.574 |        0.737
       0.623 |        0.827 |        1.449
       0.160 |        0.396 |        0.556
       0.171 |        0.456 |        0.628
       0.170 |        0.617 |        0.787
       0.743 |        1.016 |        1.759
       0.211 |        2.627 |        2.838
       1.527 |        0.407 |        1.934
       1.333 |        2.795 |        4.128
       0.173 |        1.071 |        1.244
       0.758 |        1.635 |        2.393
       0.171 |        1.064 |        1.236
       0.186 |        0.972 |        1.159
       0.130 |        1.530 |        1.660
       0.703 |        2.287 |        2.991
       0.170 |        0.572 |        0.742
       0.179 |        0.548 |        0.727
       0.347 |        0.622 |        0.969
       0.146 |        0.394 |        0.541
       0.185 |        0.554 |        0.738
       0.163 |        0.549 |        0.713
       0.169 |        0.831 |        0.999
       0.189 |        0.604 |        0.793
       0.710 |        0.654 |        1.364
       0.174 |        1.580 |        1.754
       0.163 |        2.356 |        2.519
       1.646 |        0.472 |        2.118
       0.961 |        0.531 |        1.492
       0.167 |        2.192 |        2.359
       0.160 |        0.630 |        0.790
       0.195 |        1.122 |        1.316
       0.179 |        0.628 |        0.808
       0.163 |        0.888 |        1.051
       0.158 |        1.975 |        2.133
       2.036 |        0.630 |        2.666
       2.431 |        0.479 |        2.910
       0.717 |        1.174 |        1.891
       0.180 |        0.684 |        0.864
       0.179 |        1.179 |        1.358
       0.181 |        1.400 |        1.581
       1.158 |        0.544 |        1.702
       0.175 |        1.414 |        1.588
       0.185 |        0.578 |        0.763
       0.187 |        0.542 |        0.729
       0.170 |        0.698 |        0.868
       0.761 |        0.546 |        1.306
       0.182 |        0.318 |        0.501
       0.131 |        0.910 |        1.041
       0.302 |        0.348 |        0.650
       0.181 |        0.627 |        0.808
       0.178 |        0.415 |        0.593
       0.181 |        1.362 |        1.543
       0.182 |        0.752 |        0.934
       0.965 |        2.206 |        3.170
       2.989 |        1.565 |        4.554
       4.568 |        0.393 |        4.961
       0.173 |        0.533 |        0.707
       0.184 |        0.766 |        0.950
       0.124 |        0.736 |        0.860
       0.216 |        0.605 |        0.821
       0.179 |        0.351 |        0.531
       0.191 |        0.491 |        0.682
       0.109 |        0.386 |        0.495
       0.171 |        0.404 |        0.574
       0.168 |        1.102 |        1.270
       0.161 |        0.308 |        0.469
       0.148 |        1.477 |        1.625
       0.184 |        0.591 |        0.775
       0.170 |        0.612 |        0.782
       0.442 |        0.530 |        0.972
       0.366 |        0.350 |        0.716
       0.376 |        1.145 |        1.521
       0.188 |        0.505 |        0.692
       0.163 |        0.841 |        1.003
       0.309 |        1.083 |        1.392
       0.178 |        0.566 |        0.744
       0.213 |        0.582 |        0.795
       0.400 |        0.321 |        0.721
       0.525 |        0.217 |        0.742
       0.178 |        0.851 |        1.029
       0.109 |        0.825 |        0.934
       0.136 |        0.522 |        0.657
       0.293 |        0.516 |        0.808
       0.170 |        1.164 |        1.334
       0.182 |        1.687 |        1.869
       0.184 |        0.991 |        1.175
       0.185 |        1.018 |        1.203
       0.178 |        0.600 |        0.778
       0.185 |        1.866 |        2.051
       0.186 |        1.444 |        1.629
       0.520 |        0.538 |        1.058
       1.015 |        0.797 |        1.813
       0.846 |        1.136 |        1.983
       0.168 |        0.427 |        0.596
       0.185 |        0.410 |        0.595
       0.177 |        1.591 |        1.768
       0.170 |        0.665 |        0.835
       0.166 |        1.756 |        1.922
       1.590 |        0.568 |        2.157
       1.767 |        0.328 |        2.095
       0.172 |        1.586 |        1.758
       0.184 |        0.636 |        0.820
       0.187 |        1.500 |        1.686
       0.165 |        2.166 |        2.331
       1.217 |        0.521 |        1.738
       0.176 |        0.525 |        0.701
       0.154 |        0.485 |        0.638
       0.178 |        0.976 |        1.154
       0.672 |        0.592 |        1.264
       0.238 |        2.000 |        2.238
       0.210 |        0.834 |        1.044
       0.978 |        2.318 |        3.296
       0.151 |        0.994 |        1.146
       0.183 |        0.430 |        0.613
       0.186 |        1.080 |        1.266
       1.225 |        1.266 |        2.492
       0.172 |        0.817 |        0.989
       0.185 |        0.728 |        0.912
       0.123 |        1.326 |        1.450
       0.796 |        1.897 |        2.694
       0.176 |        1.100 |        1.276
       1.032 |        0.517 |        1.548
       1.085 |        0.475 |        1.561
       0.846 |        0.586 |        1.431
       0.890 |        0.473 |        1.363
