  QueueTimes | ServiceTimes | SojournTimes
     102.752 |        0.226 |      102.978
     101.078 |        0.494 |      101.571
      99.521 |        0.954 |      100.475
     100.812 |        1.133 |      101.945
     100.307 |        1.319 |      101.626
     100.979 |        0.539 |      101.518
     100.101 |        0.239 |      100.340
      99.803 |        0.449 |      100.252
      99.436 |        0.374 |       99.809
      99.448 |        0.390 |       99.837
      99.678 |        0.304 |       99.982
      99.363 |        0.425 |       99.789
      98.870 |        0.902 |       99.772
      99.554 |        0.254 |       99.808
      99.744 |       16.564 |      116.309
     116.303 |        1.170 |      117.473
     117.443 |        0.478 |      117.920
     116.718 |        0.335 |      117.053
     116.814 |        0.273 |      117.087
     116.904 |        0.671 |      117.575
     117.029 |        1.032 |      118.061
     117.821 |        1.358 |      119.179
     119.204 |        0.433 |      119.637
     119.429 |        1.623 |      121.051
     119.736 |        0.695 |      120.431
     119.585 |        1.218 |      120.804
     120.585 |        0.524 |      121.109
     120.990 |        0.996 |      121.985
     121.074 |        0.868 |      121.942
     121.894 |        0.467 |      122.362
     122.453 |        0.634 |      123.087
     122.905 |        0.363 |      123.267
     121.592 |        0.859 |      122.451
     122.428 |        0.618 |      123.046
     123.140 |        0.516 |      123.656
     122.309 |        0.490 |      122.799
     121.592 |        1.337 |      122.929
     122.931 |        0.417 |      123.348
     123.153 |        0.354 |      123.506
     123.485 |        1.164 |      124.649
     122.949 |        0.458 |      123.407
     123.362 |        0.298 |      123.660
     121.542 |        1.569 |      123.111
     121.462 |        0.234 |      121.696
     121.552 |        1.715 |      123.267
     122.995 |        0.814 |      123.808
     123.703 |        0.946 |      124.649
     121.371 |        0.398 |      121.769
     120.987 |        0.602 |      121.589
     119.681 |        0.874 |      120.555
     119.192 |        1.461 |      120.653
     120.213 |        0.206 |      120.419
     120.566 |        0.374 |      120.940
     120.396 |        0.624 |      121.020
     120.681 |        0.826 |      121.507
     120.530 |        0.861 |      121.390
     120.260 |        0.756 |      121.016
     119.489 |        1.692 |      121.182
     120.768 |        0.281 |      121.048
     120.241 |        0.499 |      120.740
     120.001 |        0.546 |      120.547
     120.267 |        1.336 |      121.603
     120.288 |        0.259 |      120.547
     120.321 |        0.704 |      121.024
     120.967 |        0.429 |      121.396
     120.807 |        0.283 |      121.090
     122.066 |        0.321 |      122.387
     121.657 |        0.891 |      122.548
     120.926 |        2.007 |      122.933
     121.880 |        0.411 |      122.290
     122.247 |        0.601 |      122.848
     122.194 |        0.270 |      122.464
     118.134 |        0.318 |      118.451
     117.627 |        0.770 |      118.398
     118.438 |        0.439 |      118.877
     118.382 |        1.886 |      120.268
     119.867 |        0.301 |      120.168
     120.027 |       16.921 |      136.948
     135.576 |        0.787 |      136.363
     136.221 |        1.190 |      137.411
     136.119 |        0.635 |      136.753
     136.281 |        0.533 |      136.814
     136.669 |        1.151 |      137.819
     137.307 |        1.655 |      138.962
     137.114 |        0.408 |      137.522
     137.105 |        0.246 |      137.351
     137.119 |        0.453 |      137.572
     135.399 |        0.275 |      135.674
     135.240 |        0.352 |      135.592
     134.991 |        0.384 |      135.375
     135.140 |        0.427 |      135.566
     133.822 |        0.388 |      134.210
     134.147 |        0.465 |      134.612
     132.834 |        1.063 |      133.896
     133.323 |        1.737 |      135.059
     134.936 |        0.343 |      135.278
     134.923 |        0.387 |      135.310
     132.717 |        1.420 |      134.137
     133.318 |        0.446 |      133.764
     133.271 |        0.640 |      133.911
     133.200 |        0.349 |      133.549
     133.203 |        0.473 |      133.676
     133.095 |        1.416 |      134.511
     134.660 |        0.456 |      135.116
     134.875 |        0.348 |      135.222
     134.571 |        0.847 |      135.418
     134.638 |        0.473 |      135.112
     133.949 |        0.698 |      134.647
     133.758 |        0.927 |      134.685
     134.564 |        0.391 |      134.954
     133.954 |        0.876 |      134.830
     133.956 |        0.307 |      134.263
     133.450 |        0.259 |      133.709
     131.439 |        0.520 |      131.959
     131.924 |        0.393 |      132.317
     131.981 |        0.230 |      132.211
     132.077 |        0.657 |      132.734
     132.623 |        0.255 |      132.877
     132.145 |        0.441 |      132.586
     132.093 |        0.236 |      132.329
     131.630 |        0.979 |      132.609
     131.134 |        0.436 |      131.570
     131.559 |        1.590 |      133.149
     133.302 |        1.146 |      134.448
     134.274 |        0.292 |      134.566
     132.017 |        0.321 |      132.337
     131.457 |        0.521 |      131.978
     131.705 |        0.533 |      132.238
