mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520958812820,0.830486,0.102362,0.051248,0.091864,0.905672,1.006782,0.807028,0.908138,0.752660,0.103056,0.041359,0.083425,14710147.513337,2531527.900263,943052.623591,1576080.593753
1520958812920,0.840999,0.102362,0.051248,0.091864,0.906289,1.008015,0.806412,0.908138,0.762187,0.103183,0.041327,0.083425,14710147.589589,2531527.910872,943052.627731,1576080.602129
1520958813020,0.839685,0.102362,0.051248,0.091864,0.906289,1.008015,0.807028,0.908138,0.760997,0.103183,0.041359,0.083425,14710147.665861,2531527.921357,943052.631865,1576080.610496
1520958813120,0.844941,0.102362,0.051248,0.091864,0.906289,1.008015,0.806412,0.908138,0.765760,0.103183,0.041327,0.083425,14710147.741924,2531527.932068,943052.636004,1576080.618880
1520958813220,0.830486,0.102362,0.051248,0.091864,0.906289,1.008015,0.807028,0.908138,0.752660,0.103183,0.041359,0.083425,14710147.817667,2531527.942873,943052.640151,1576080.627249
1520958813320,0.844941,0.102362,0.051248,0.091864,0.906289,1.007398,0.806412,0.908138,0.765760,0.103120,0.041327,0.083425,14710147.893901,2531527.953386,943052.644289,1576080.635628
1520958813420,0.837057,0.102362,0.051248,0.091864,0.905672,1.007398,0.807028,0.907522,0.758099,0.103120,0.041359,0.083368,14710147.970006,2531527.963983,943052.648425,1576080.643991
1520958813520,0.846255,0.102362,0.051248,0.091864,0.906289,1.007398,0.807028,0.908138,0.766951,0.103183,0.041359,0.085808,14710148.046271,2531527.974430,943052.652564,1576080.652369
1520958813620,0.843627,0.102362,0.051248,0.091864,0.906289,1.007398,0.807028,0.908138,0.764569,0.103120,0.041359,0.083425,14710148.121830,2531527.984841,943052.656701,1576080.660738
1520958813720,0.834428,0.102362,0.051248,0.091864,0.906289,1.007398,0.807028,0.908138,0.755042,0.103120,0.041359,0.083425,14710148.197805,2531527.995598,943052.660838,1576080.669109
1520958813821,0.830486,0.102362,0.051248,0.091864,0.906289,1.008015,0.807028,0.908138,0.752660,0.103183,0.041359,0.083425,14710148.273714,2531528.006012,943052.664984,1576080.677487
1520958813921,0.848883,0.102362,0.051248,0.091864,0.906289,1.008015,0.806412,0.908138,0.769333,0.103183,0.041327,0.083425,14710148.349816,2531528.016611,943052.669174,1576080.685859
1520958814021,0.831800,0.102362,0.051248,0.091864,0.905672,1.008015,0.807028,0.908138,0.753338,0.103183,0.041359,0.083425,14710148.425751,2531528.027025,943052.673323,1576080.694228
1520958814121,0.893561,0.603675,0.053876,0.094488,0.906289,1.008631,0.811961,0.909371,0.809183,0.608885,0.043779,0.085925,14710148.502295,2531528.039140,943052.677477,1576080.702608
1520958814221,0.901445,0.595801,0.055191,0.094488,0.905672,1.008015,0.812577,0.909371,0.816414,0.600576,0.044847,0.085925,14710148.582088,2531528.105082,943052.681863,1576080.711223
1520958814321,0.876478,0.629921,0.053876,0.094488,0.906289,1.009248,0.811961,0.909371,0.794342,0.635747,0.043746,0.085925,14710148.662302,2531528.170340,943052.686264,1576080.719862
1520958814421,0.871222,0.706037,0.053876,0.094488,0.906289,1.008015,0.811961,0.909371,0.791960,0.698467,0.043746,0.085925,14710148.741657,2531528.239712,943052.690663,1576080.728521
1520958814521,0.854139,0.104987,0.052562,0.094488,0.905672,1.007398,0.807028,0.908138,0.773570,0.105764,0.042419,0.085808,14710148.820743,2531528.290274,943052.695001,1576080.737206
1520958814621,0.873850,0.102362,0.051248,0.094488,0.906289,1.008015,0.807028,0.908138,0.791422,0.103183,0.041359,0.085808,14710148.898592,2531528.300980,943052.699166,1576080.745802
1520958814721,0.854139,0.102362,0.051248,0.094488,0.906289,1.008015,0.807645,0.908138,0.774097,0.103183,0.041390,0.085808,14710148.976308,2531528.311895,943052.703325,1576080.754381
1520958814822,0.859396,0.102362,0.051248,0.094488,0.906289,1.007398,0.807028,0.908138,0.778860,0.103183,0.041359,0.085808,14710149.053882,2531528.322342,943052.707469,1576080.762949
1520958814922,0.862024,0.102362,0.051248,0.094488,0.905672,1.008015,0.807028,0.908138,0.780711,0.103183,0.041359,0.085808,14710149.132222,2531528.338625,943052.711642,1576080.771480
1520958815022,0.856767,0.102362,0.051248,0.094488,0.905672,1.007398,0.807028,0.908138,0.776478,0.103183,0.041359,0.085808,14710149.209902,2531528.349056,943052.715793,1576080.780002
1520958815122,0.856767,0.102362,0.051248,0.094488,0.905672,1.008631,0.807645,0.908755,0.775950,0.103246,0.041390,0.085867,14710149.287818,2531528.359810,943052.719936,1576080.788499
1520958815222,0.844941,0.750656,0.052562,0.094488,0.905672,1.007398,0.812577,0.908755,0.765760,0.759318,0.042711,0.085867,14710149.366037,2531528.405897,943052.724200,1576080.797047
1520958815322,0.889619,0.695538,0.053876,0.094488,0.906289,1.007398,0.812577,0.909988,0.807442,0.700684,0.043779,0.085983,14710149.445411,2531528.477268,943052.728596,1576080.805686
1520958815422,0.865966,0.737533,0.053876,0.094488,0.906289,1.007398,0.812577,0.908755,0.784815,0.742989,0.043779,0.085867,14710149.526410,2531528.544504,943052.733073,1576080.814389
1520958815522,0.898817,0.650919,0.059133,0.097113,0.906289,1.007398,0.813194,0.909988,0.812759,0.655734,0.049155,0.088372,14710149.606783,2531528.612803,943052.737540,1576080.823135
1520958815622,0.880420,0.648294,0.053876,0.097113,0.906905,1.008631,0.813194,0.909988,0.798458,0.653890,0.043812,0.088372,14710149.687679,2531528.680882,943052.742031,1576080.831925
1520958815722,0.858081,0.721785,0.053876,0.097113,0.906289,1.008015,0.811961,0.908755,0.777669,0.727570,0.043746,0.088252,14710149.768005,2531528.745930,943052.746498,1576080.840744
1520958815823,0.843627,0.729659,0.052562,0.097113,0.906289,1.008015,0.813194,0.909371,0.765089,0.735507,0.042743,0.088312,14710149.846295,2531528.813864,943052.750873,1576080.849570
1520958815923,0.884363,0.640420,0.055191,0.097113,0.906905,1.008015,0.813194,0.909988,0.802033,0.645553,0.044881,0.088372,14710149.925331,2531528.885147,943052.755272,1576080.858408
1520958816023,0.842313,0.742782,0.052562,0.097113,0.906905,1.009248,0.813194,0.910604,0.762706,0.744353,0.042743,0.090821,14710150.002937,2531528.957175,943052.759607,1576080.867251
1520958816123,0.884363,0.645669,0.053876,0.097113,0.906905,1.008015,0.812577,0.909988,0.802033,0.650844,0.043779,0.088372,14710150.080347,2531529.032561,943052.763936,1576080.876097
1520958816223,0.844941,0.706037,0.052562,0.097113,0.906289,1.008015,0.812577,0.909371,0.765760,0.711695,0.042711,0.088312,14710150.158033,2531529.106031,943052.768284,1576080.884961
1520958816323,0.885677,0.658793,0.055191,0.097113,0.906289,1.007398,0.812577,0.910604,0.803870,0.663667,0.044847,0.088431,14710150.235629,2531529.177803,943052.772735,1576080.893830
1520958816423,0.860710,0.818898,0.052562,0.097113,0.906289,1.008015,0.812577,0.908755,0.780051,0.825461,0.042711,0.088252,14710150.314054,2531529.252259,943052.777120,1576080.902695
1520958816523,0.852825,0.742782,0.053876,0.097113,0.906289,1.008015,0.812577,0.909371,0.775150,0.751381,0.043812,0.088312,14710150.392805,2531529.329396,943052.781499,1576080.911549
1520958816623,0.909330,0.669291,0.056505,0.097113,0.907522,1.006782,0.813810,0.909988,0.826429,0.673830,0.045984,0.088372,14710150.472413,2531529.402437,943052.785979,1576080.920427
1520958816724,0.893561,0.635171,0.055191,0.097113,0.906905,1.008015,0.813194,0.909371,0.810375,0.640261,0.044881,0.088312,14710150.552870,2531529.475538,943052.790473,1576080.929326
1520958816824,0.883049,0.107612,0.052562,0.097113,0.906289,1.007398,0.807028,0.908138,0.800297,0.108474,0.042452,0.085808,14710150.632632,2531529.530022,943052.794928,1576080.938199
1520958816924,0.885677,0.734908,0.053876,0.097113,0.906905,1.008015,0.813194,0.909371,0.802033,0.740798,0.043812,0.088312,14710150.713213,2531529.592738,943052.799454,1576080.947081
1520958817024,0.886991,0.278215,0.053876,0.097113,0.906289,1.006165,0.812577,0.909371,0.803870,0.279930,0.043779,0.088312,14710150.793381,2531529.641155,943052.803920,1576080.955910
1520958817124,0.876478,0.104987,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.794342,0.105828,0.041359,0.085808,14710150.873215,2531529.661283,943052.808306,1576080.964617
1520958817224,0.909330,0.611549,0.056505,0.097113,0.906905,1.012947,0.812577,0.909988,0.824676,0.619466,0.045914,0.088372,14710150.953237,2531529.699243,943052.812744,1576080.973357
1520958817324,0.880420,0.107612,0.052562,0.094488,0.905672,1.008015,0.807028,0.908138,0.797372,0.108474,0.042419,0.085808,14710151.032365,2531529.716142,943052.817073,1576080.981990
1520958817424,0.881735,0.181102,0.055191,0.094488,0.906289,1.007398,0.807028,0.908138,0.799106,0.182442,0.044540,0.085808,14710151.112785,2531529.752844,943052.821530,1576080.990708
1520958817524,0.898817,0.640420,0.064389,0.097113,0.906289,1.007398,0.814427,0.910604,0.811567,0.648198,0.052400,0.088431,14710151.192401,2531529.819639,943052.825969,1576080.999540
1520958817624,0.873850,0.661417,0.053876,0.097113,0.905672,1.008631,0.812577,0.908755,0.793151,0.667126,0.043779,0.088252,14710151.271663,2531529.890332,943052.830406,1576081.008383
1520958817725,0.876478,0.669291,0.053876,0.099738,0.906289,1.007398,0.812577,0.909988,0.794342,0.674243,0.043779,0.090760,14710151.351962,2531529.958140,943052.834915,1576081.017247
1520958817825,0.851511,0.847769,0.053876,0.097113,0.906905,1.007398,0.813194,0.908138,0.771715,0.854041,0.043779,0.088192,14710151.430448,2531530.034159,943052.839290,1576081.026099
1520958817925,0.880420,0.299213,0.056505,0.094488,0.906289,1.008015,0.807645,0.908138,0.797915,0.301611,0.045636,0.085808,14710151.508432,2531530.106108,943052.843652,1576081.034939
1520958818025,0.893561,0.748031,0.053876,0.099738,0.906289,1.009248,0.813194,0.909988,0.812759,0.740798,0.043812,0.090821,14710151.587651,2531530.147190,943052.848003,1576081.043717
1520958818125,0.877792,0.118110,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.796724,0.119057,0.042419,0.085808,14710151.667463,2531530.184319,943052.852383,1576081.052471
1520958818225,0.880420,0.118110,0.052562,0.094488,0.906289,1.008015,0.807645,0.908138,0.797915,0.119057,0.042452,0.085808,14710151.746979,2531530.203849,943052.856738,1576081.061151
1520958818325,0.911958,0.648294,0.055191,0.097113,0.906905,1.007398,0.813194,0.908755,0.825306,0.653090,0.044847,0.088252,14710151.826849,2531530.246291,943052.861154,1576081.069885
1520958818425,0.863338,0.711286,0.053876,0.097113,0.906289,1.008631,0.813194,0.909371,0.782433,0.717425,0.043812,0.088312,14710151.906887,2531530.304840,943052.865576,1576081.078689
1520958818525,0.894875,0.748031,0.055191,0.099738,0.906289,1.008631,0.813810,0.910604,0.811015,0.754488,0.044915,0.090821,14710151.987672,2531530.375250,943052.870115,1576081.087548
1520958818625,0.888305,0.553806,0.056505,0.097113,0.907522,1.007398,0.813194,0.909371,0.799001,0.557903,0.044915,0.088312,14710152.068116,2531530.444230,943052.874605,1576081.096411
1520958818726,0.869908,0.695538,0.055191,0.099738,0.907522,1.008015,0.813810,0.910604,0.789460,0.701113,0.044915,0.090821,14710152.148118,2531530.510666,943052.879096,1576081.105290
1520958818826,0.913272,0.658793,0.060447,0.097113,0.907522,1.007398,0.813194,0.909988,0.828814,0.663667,0.049155,0.088372,14710152.228573,2531530.581756,943052.883588,1576081.114196
1520958818926,0.880420,0.125984,0.056505,0.094488,0.905672,1.008015,0.807645,0.908138,0.797915,0.126994,0.046697,0.085808,14710152.308309,2531530.622714,943052.888031,1576081.123031
1520958819026,0.876478,0.154856,0.052562,0.097113,0.906289,1.008015,0.807645,0.908755,0.794342,0.156097,0.042452,0.088252,14710152.387774,2531530.644590,943052.892402,1576081.131757
1520958819126,0.875164,0.112861,0.052562,0.094488,0.906289,1.008015,0.808261,0.908138,0.794342,0.113765,0.042452,0.085808,14710152.467370,2531530.666669,943052.896760,1576081.140436
1520958819226,0.886991,0.128609,0.052562,0.097113,0.906289,1.008631,0.809494,0.909371,0.803870,0.129719,0.042549,0.088312,14710152.546998,2531530.687528,943052.901157,1576081.149105
