mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1521500653283,0.839685,0.107612,0.051248,0.094488,0.905672,1.007398,0.806412,0.908138,0.760479,0.108408,0.041327,0.085808,15123107.265208,2591571.156534,965653.875503,1621275.174390
1521500653383,0.831800,0.104987,0.051248,0.094488,0.905672,1.007398,0.806412,0.908138,0.753338,0.105764,0.041327,0.085808,15123107.341339,2591571.167028,965653.879686,1621275.182986
1521500653483,0.855453,0.104987,0.051248,0.094488,0.905672,1.007398,0.806412,0.908138,0.774760,0.105764,0.041327,0.085808,15123107.416872,2591571.177458,965653.883857,1621275.191583
1521500653583,0.842313,0.104987,0.051248,0.094488,0.905672,1.007398,0.806412,0.908138,0.762859,0.105764,0.041327,0.085808,15123107.493446,2591571.187974,965653.888037,1621275.200181
1521500653684,0.838371,0.102362,0.051248,0.094488,0.905672,1.007398,0.806412,0.907522,0.759289,0.105764,0.041327,0.085750,15123107.569841,2591571.198531,965653.892200,1621275.208770
1521500653784,0.869908,0.107612,0.051248,0.094488,0.905672,1.007398,0.806412,0.907522,0.787851,0.108408,0.042387,0.085750,15123107.648262,2591571.214524,965653.897322,1621275.217385
1521500653884,0.877792,0.104987,0.052562,0.094488,0.905672,1.006782,0.807645,0.907522,0.794992,0.105699,0.042452,0.085808,15123107.728048,2591571.228320,965653.902617,1621275.226002
1521500653984,0.865966,0.104987,0.052562,0.094488,0.905672,1.007398,0.806412,0.908138,0.784281,0.105764,0.042387,0.085808,15123107.807633,2591571.241806,965653.907734,1621275.234613
1521500654084,0.869908,0.181102,0.052562,0.097113,0.907522,1.011097,0.810111,0.910604,0.790653,0.183112,0.042581,0.088431,15123107.887317,2591571.256241,965653.913065,1621275.243228
1521500654184,0.877792,0.107612,0.065703,0.094488,0.905672,1.007398,0.806412,0.908138,0.794992,0.108408,0.055103,0.085808,15123107.966404,2591571.268921,965653.917750,1621275.251835
1521500654285,0.864652,0.107612,0.052562,0.094488,0.905672,1.007398,0.807645,0.908138,0.783091,0.108408,0.042452,0.085808,15123108.045522,2591571.280839,965653.922292,1621275.260441
1521500654385,0.869908,0.107612,0.052562,0.094488,0.905672,1.008015,0.807645,0.908138,0.789041,0.108474,0.042452,0.085808,15123108.124570,2591571.293607,965653.927029,1621275.269051
1521500654485,0.856767,0.102362,0.051248,0.094488,0.905672,1.007398,0.807028,0.908138,0.775950,0.103120,0.041327,0.085808,15123108.203930,2591571.305382,965653.931508,1621275.277654
1521500654585,0.880420,0.125984,0.052562,0.094488,0.906289,1.006782,0.810111,0.908138,0.799106,0.113626,0.042581,0.085808,15123108.283091,2591571.316660,965653.935798,1621275.286257
1521500654685,0.872536,0.104987,0.052562,0.094488,0.905672,1.007398,0.807645,0.908138,0.790232,0.105764,0.042452,0.085808,15123108.362322,2591571.328442,965653.940716,1621275.294860
1521500654785,0.873850,0.115486,0.136662,0.094488,0.905672,1.008015,0.807028,0.908138,0.790232,0.116411,0.110290,0.085808,15123108.441500,2591571.339725,965653.950711,1621275.303469
1521500654885,0.855453,0.107612,0.186597,0.094488,0.905672,1.007398,0.807645,0.908138,0.773570,0.108408,0.149642,0.085808,15123108.520346,2591571.350659,965653.962601,1621275.312068
1521500654986,0.862024,0.120735,0.189225,0.094488,0.905672,1.008015,0.808261,0.908755,0.781901,0.121703,0.152943,0.085867,15123108.599109,2591571.362215,965653.976596,1621275.320671
1521500655086,0.872536,0.115486,0.124836,0.094488,0.905672,1.008015,0.806412,0.908138,0.790232,0.116411,0.100746,0.085808,15123108.677434,2591571.373354,965653.989746,1621275.329273
1521500655186,0.871222,0.128609,0.157687,0.094488,0.905672,1.008631,0.807645,0.908755,0.787851,0.135014,0.133927,0.085867,15123108.756368,2591571.384575,965654.000539,1621275.337874
1521500655286,0.881735,0.104987,0.120894,0.094488,0.905672,1.007398,0.806412,0.908138,0.797372,0.105764,0.097490,0.085808,15123108.835258,2591571.395780,965654.011694,1621275.346476
