mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520969164274,0.840999,0.102362,0.126150,0.094488,0.905672,1.007398,0.807028,0.908138,0.761669,0.103120,0.101729,0.085808,14718227.315075,2536621.798669,943614.937864,1577037.684287
1520969164374,0.851511,0.112861,0.132720,0.091864,0.905672,1.008015,0.808261,0.908755,0.771190,0.113765,0.107273,0.083481,14718227.392232,2536621.810017,943614.948441,1577037.692736
1520969164474,0.888305,0.131234,0.126150,0.091864,0.905672,1.007398,0.807645,0.908755,0.803323,0.132204,0.101884,0.083481,14718227.469507,2536621.821393,943614.959178,1577037.701186
1520969164574,0.835742,0.102362,0.126150,0.094488,0.905672,1.008015,0.807028,0.908138,0.756909,0.103183,0.101806,0.085808,14718227.546720,2536621.832635,943614.969533,1577037.709632
1520969164674,0.886991,0.133858,0.131406,0.091864,0.905672,1.008015,0.807028,0.908138,0.803323,0.134931,0.106048,0.083425,14718227.623685,2536621.843914,943614.979851,1577037.718073
1520969164774,0.863338,0.115486,0.147175,0.094488,0.906289,1.008015,0.807645,0.908138,0.782433,0.116411,0.118865,0.085808,14718227.700875,2536621.855294,943614.990857,1577037.726529
1520969164874,0.838371,0.102362,0.132720,0.091864,0.905672,1.007398,0.807645,0.908138,0.759289,0.103120,0.107191,0.083425,14718227.778330,2536621.866838,943615.001743,1577037.734966
1520969164974,0.860710,0.115486,0.148489,0.094488,0.906289,1.008015,0.806412,0.908138,0.783624,0.121703,0.116564,0.083425,14718227.855670,2536621.878302,943615.012519,1577037.743430
1520969165074,0.840999,0.104987,0.130092,0.091864,0.905672,1.007398,0.807028,0.908138,0.762859,0.105764,0.104988,0.083425,14718227.933158,2536621.889895,943615.023590,1577037.751890
1520969165174,0.839685,0.104987,0.130092,0.091864,0.905672,1.008015,0.806412,0.908138,0.760479,0.103183,0.102788,0.083425,14718228.010529,2536621.901433,943615.034081,1577037.760334
1520969165274,0.859396,0.118110,0.124836,0.094488,0.905672,1.007398,0.807028,0.908138,0.778330,0.118984,0.100746,0.085808,14718228.088285,2536621.913236,943615.044717,1577037.768786
1520969165375,0.876478,0.128609,0.130092,0.091864,0.905672,1.008015,0.807028,0.908138,0.792612,0.126994,0.105068,0.085808,14718228.165990,2536621.925060,943615.055318,1577037.777259
1520969165475,0.856767,0.115486,0.141919,0.091864,0.906289,1.008015,0.807645,0.908138,0.776478,0.116411,0.114620,0.083425,14718228.244024,2536621.937046,943615.066108,1577037.785716
1520969165575,0.865966,0.123360,0.128778,0.094488,0.906905,1.006782,0.808261,0.909371,0.781774,0.121554,0.104166,0.085925,14718228.321455,2536621.948688,943615.077441,1577037.794170
1520969165675,0.884363,0.133858,0.130092,0.091864,0.906289,1.008015,0.806412,0.908138,0.801488,0.134931,0.104908,0.083425,14718228.399195,2536621.960447,943615.088756,1577037.802649
1520969165775,0.862024,0.118110,0.122208,0.094488,0.905672,1.008015,0.807645,0.908138,0.780711,0.119057,0.098700,0.083425,14718228.477005,2536621.972337,943615.099658,1577037.811118
1520969165875,0.867280,0.120735,0.135348,0.094488,0.906289,1.007398,0.809494,0.909371,0.786006,0.121628,0.109564,0.085925,14718228.555102,2536621.984335,943615.110089,1577037.819611
1520969165975,0.869908,0.123360,0.135348,0.091864,0.906289,1.008631,0.808261,0.908755,0.791307,0.127072,0.111521,0.083481,14718228.632496,2536621.995678,943615.120506,1577037.828071
1520969166075,0.837057,0.104987,0.123522,0.094488,0.905672,1.007398,0.807028,0.908138,0.758099,0.105764,0.099686,0.085808,14718228.709255,2536622.006751,943615.130857,1577037.836533
1520969166175,0.847569,0.104987,0.120894,0.094488,0.905672,1.007398,0.807645,0.908138,0.767620,0.103120,0.097565,0.085808,14718228.786057,2536622.017803,943615.141101,1577037.844986
1520969166275,0.854139,0.115486,0.135348,0.094488,0.906289,1.006782,0.808878,0.908755,0.774097,0.116269,0.109480,0.085867,14718228.863834,2536622.029581,943615.151545,1577037.853446
1520969166376,0.854139,0.123360,0.132720,0.094488,0.906905,1.007398,0.809494,0.909988,0.768142,0.116340,0.107436,0.085983,14718228.942040,2536622.041720,943615.161925,1577037.861899
1520969166476,0.867280,0.128609,0.127464,0.091864,0.905672,1.008631,0.807645,0.908755,0.785471,0.129719,0.102946,0.083481,14718229.021161,2536622.055913,943615.172379,1577037.870390
1520969166576,0.851511,0.120735,0.127464,0.091864,0.905672,1.008015,0.807645,0.908755,0.766429,0.119057,0.103024,0.083481,14718229.098814,2536622.067599,943615.183730,1577037.878877
1520969166676,0.862024,0.125984,0.135348,0.091864,0.905672,1.008015,0.808261,0.908138,0.780711,0.126994,0.109397,0.083425,14718229.176299,2536622.079135,943615.194814,1577037.887360
1520969166776,0.850197,0.112861,0.144547,0.091864,0.906289,1.008015,0.807028,0.908138,0.771190,0.116411,0.116653,0.083425,14718229.253787,2536622.090673,943615.205844,1577037.895839
1520969166876,0.886991,0.139108,0.131406,0.091864,0.905672,1.008015,0.807028,0.908138,0.803323,0.140223,0.106048,0.083425,14718229.331459,2536622.102327,943615.217200,1577037.904344
1520969166976,0.855453,0.115486,0.143233,0.091864,0.905672,1.007398,0.808261,0.908755,0.771190,0.113696,0.115593,0.083481,14718229.408900,2536622.113842,943615.228244,1577037.912824
1520969167076,0.865966,0.136483,0.145861,0.091864,0.907522,1.008015,0.806412,0.908138,0.785883,0.137577,0.117624,0.083425,14718229.486822,2536622.125578,943615.239702,1577037.921317
1520969167176,0.862024,0.115486,0.147175,0.094488,0.906289,1.008015,0.807028,0.908138,0.782433,0.119057,0.118774,0.085808,14718229.564521,2536622.137292,943615.250889,1577037.929805
1520969167276,0.876478,0.128609,0.132720,0.091864,0.905672,1.008015,0.807028,0.908138,0.793802,0.129640,0.107109,0.083425,14718229.642386,2536622.149074,943615.262323,1577037.938301
1520969167376,0.884363,0.133858,0.134034,0.091864,0.906289,1.008015,0.807645,0.908138,0.803870,0.134931,0.107109,0.083425,14718229.719990,2536622.160719,943615.273448,1577037.946807
1520969167477,0.864652,0.120735,0.134034,0.091864,0.905672,1.007398,0.807645,0.909371,0.783091,0.121628,0.108252,0.083538,14718229.797967,2536622.172598,943615.284543,1577037.955317
1520969167577,0.854139,0.112861,0.128778,0.091864,0.906289,1.007398,0.807645,0.908755,0.775288,0.113696,0.104007,0.083481,14718229.875701,2536622.184320,943615.295617,1577037.963794
1520969167677,0.852825,0.112861,0.126150,0.091864,0.905672,1.008015,0.807645,0.908138,0.772380,0.113765,0.101884,0.083425,14718229.952833,2536622.195629,943615.306579,1577037.972286
1520969167777,0.862024,0.120735,0.130092,0.094488,0.906289,1.008015,0.808878,0.908755,0.782433,0.121703,0.106291,0.085867,14718230.030003,2536622.206999,943615.317056,1577037.980768
1520969167877,0.883049,0.133858,0.127464,0.094488,0.906289,1.008015,0.807645,0.908138,0.800297,0.134931,0.102946,0.085808,14718230.106858,2536622.218145,943615.327533,1577037.989251
1520969167977,0.844941,0.104987,0.126150,0.094488,0.905672,1.007398,0.807028,0.908138,0.764049,0.105764,0.101806,0.085808,14718230.183326,2536622.229093,943615.338143,1577037.997713
1520969168077,0.851511,0.110236,0.131406,0.091864,0.905672,1.007398,0.807645,0.908138,0.771190,0.111052,0.106129,0.083425,14718230.260271,2536622.240246,943615.349598,1577038.006174
1520969168177,0.859396,0.115486,0.147175,0.091864,0.905672,1.008015,0.807028,0.908138,0.779521,0.116411,0.118774,0.083425,14718230.337477,2536622.251565,943615.361182,1577038.014651
1520969168277,0.846255,0.107612,0.145861,0.094488,0.905672,1.007398,0.807028,0.908138,0.766429,0.108408,0.117714,0.085808,14718230.414925,2536622.263009,943615.372763,1577038.023131
1520969168377,0.881735,0.128609,0.128778,0.094488,0.905672,1.008015,0.808261,0.908138,0.798562,0.129640,0.105148,0.085808,14718230.493344,2536622.275186,943615.384164,1577038.031605
1520969168477,0.843627,0.104987,0.144547,0.091864,0.905672,1.007398,0.807028,0.908138,0.764049,0.105764,0.116653,0.083425,14718230.572033,2536622.287434,943615.394267,1577038.040092
1520969168578,0.897503,0.133858,0.136662,0.091864,0.906905,1.008015,0.808878,0.908138,0.817525,0.134931,0.112669,0.083425,14718230.651108,2536622.300000,943615.404447,1577038.048586
1520969168678,0.852825,0.112861,0.127464,0.094488,0.905672,1.008015,0.807028,0.908755,0.772380,0.113765,0.102867,0.085867,14718230.731737,2536622.313321,943615.415531,1577038.057110
1520969168778,0.889619,0.139108,0.123522,0.094488,0.905672,1.008015,0.807645,0.908138,0.808083,0.140223,0.099762,0.085808,14718230.810041,2536622.325953,943615.426347,1577038.065625
1520969168878,0.858081,0.115486,0.140604,0.091864,0.906289,1.007398,0.807028,0.908138,0.779521,0.116340,0.113472,0.083425,14718230.887739,2536622.337610,943615.437553,1577038.074153
1520969168978,0.856767,0.115486,0.135348,0.094488,0.906289,1.007398,0.807645,0.908138,0.776478,0.116340,0.109313,0.085808,14718230.965510,2536622.349263,943615.448740,1577038.082667
1520969169078,0.864652,0.118110,0.131406,0.094488,0.906289,1.007398,0.807028,0.908138,0.786006,0.121628,0.108252,0.085808,14718231.043052,2536622.360875,943615.460019,1577038.091172
1520969169178,0.876478,0.125984,0.140604,0.091864,0.905672,1.007398,0.807028,0.908138,0.793802,0.126916,0.113472,0.083425,14718231.120815,2536622.372560,943615.471061,1577038.099682
1520969169278,0.837057,0.104987,0.123522,0.091864,0.905672,1.008015,0.807028,0.908138,0.758099,0.105828,0.099686,0.083425,14718231.197852,2536622.383739,943615.482019,1577038.108162
