Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:32:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:18         12     47.45      0.00     10.20      0.00      0.00     42.35
18:32:18         14     46.73      0.00     11.56      0.00      0.00     41.71
18:32:18         16     45.55      0.00     10.47      0.00      0.00     43.98
18:32:18         18     46.23      0.00     10.55      0.00      0.00     43.22
18:32:18         20     47.42      0.00      9.28      0.00      0.00     43.30
18:32:18         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:20          0     44.27      0.00     14.58      0.00      0.00     41.15
18:32:20          2     47.94      0.00     10.82      0.00      0.00     41.24
18:32:20          4     51.78      0.00      8.12      0.00      0.00     40.10
18:32:20          6     51.26      0.00     10.05      0.00      0.00     38.69
18:32:20          8     50.50      0.00     10.00      0.00      0.00     39.50
18:32:20         10     49.75      0.00      9.95      0.00      0.00     40.30
18:32:20         12     51.98      0.00      8.91      0.00      0.00     39.11
18:32:20         14     50.24      0.00     10.73      0.00      0.00     39.02
18:32:20         16     46.97      0.00     11.62      0.00      0.00     41.41
18:32:20         18     49.50      0.00     10.00      0.00      0.00     40.50
18:32:20         20     49.75      0.00     10.45      0.00      0.00     39.80
18:32:20         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:22          0     46.11      0.00     12.95      0.00      0.00     40.93
18:32:22          2     48.70      0.00      9.84      0.00      0.00     41.45
18:32:22          4     49.02      0.00     12.25      0.00      0.00     38.73
18:32:22          6     48.99      0.00     10.61      0.00      0.00     40.40
18:32:22          8     45.96      0.00     13.13      0.00      0.00     40.91
18:32:22         10     47.96      0.00     10.71      0.00      0.00     41.33
18:32:22         12     51.00      0.00      9.00      0.00      0.00     40.00
18:32:22         14     47.45      0.00     11.73      0.00      0.00     40.82
18:32:22         16     49.49      0.00      9.18      0.00      0.00     41.33
18:32:22         18     48.04      0.00     12.25      0.00      0.00     39.71
18:32:22         20     45.03      0.00     13.09      0.00      0.00     41.88
18:32:22         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:24          0     47.26      0.00     11.94      0.00      0.00     40.80
18:32:24          2     46.43      0.00     11.73      0.00      0.00     41.84
18:32:24          4     46.94      0.00     11.22      0.00      0.00     41.84
18:32:24          6     48.24      0.00     10.05      0.00      0.00     41.71
18:32:24          8     44.79      0.00     12.50      0.00      0.00     42.71
18:32:24         10     43.39      0.00     12.17      0.00      0.00     44.44
18:32:24         12     46.88      0.00     11.46      0.00      0.00     41.67
18:32:24         14     48.97      0.00      9.28      0.00      0.00     41.75
18:32:24         16     45.88      0.00     12.37      0.00      0.00     41.75
18:32:24         18     45.18      0.00     12.69      0.00      0.00     42.13
18:32:24         20     46.60      0.00     11.52      0.00      0.00     41.88
