  QueueTimes | ServiceTimes | SojournTimes
       7.407 |        0.566 |        7.972
       1.785 |        1.166 |        2.950
       0.188 |        2.439 |        2.627
       1.956 |        2.924 |        4.879
       0.885 |        3.479 |        4.364
       2.199 |        1.312 |        3.511
       0.187 |        0.637 |        0.824
       0.190 |        1.157 |        1.347
       0.158 |        0.966 |        1.124
       0.153 |        0.980 |        1.133
       0.642 |        0.758 |        1.400
       0.140 |        1.101 |        1.241
       0.189 |        2.352 |        2.541
       1.822 |        0.645 |        2.467
       2.176 |        5.186 |        7.362
       7.260 |        2.709 |        9.969
       9.885 |        1.186 |       11.072
       7.107 |        0.858 |        7.965
       7.203 |        0.686 |        7.888
       7.287 |        1.679 |        8.966
       7.224 |        2.497 |        9.720
       8.945 |        3.460 |       12.404
      12.337 |        1.075 |       13.412
      12.777 |        4.112 |       16.889
      12.579 |        1.646 |       14.225
      11.339 |        3.090 |       14.429
      13.815 |        1.308 |       15.123
      14.717 |        2.496 |       17.213
      14.863 |        2.074 |       16.937
      16.130 |        1.198 |       17.328
      16.996 |        1.631 |       18.627
      17.988 |        0.933 |       18.921
      14.078 |        2.235 |       16.313
      15.206 |        1.607 |       16.813
      16.260 |        1.325 |       17.585
      14.683 |        1.148 |       15.832
      12.258 |        3.480 |       15.738
      15.747 |        1.052 |       16.799
      16.135 |        0.904 |       17.038
      16.558 |        2.931 |       19.489
      14.281 |        1.074 |       15.355
      15.254 |        0.673 |       15.927
       9.028 |        4.012 |       13.040
       7.648 |        0.575 |        8.223
       7.374 |        4.364 |       11.738
      11.192 |        1.975 |       13.166
      12.744 |        2.374 |       15.117
       4.524 |        0.991 |        5.515
       2.946 |        1.518 |        4.465
       0.193 |        2.244 |        2.437
       0.195 |        3.693 |        3.888
       2.457 |        0.510 |        2.967
       2.658 |        0.937 |        3.596
       2.564 |        1.565 |        4.130
       3.019 |        2.085 |        5.104
       1.896 |        2.134 |        4.030
       0.369 |        1.879 |        2.249
       0.208 |        4.316 |        4.525
       3.190 |        0.706 |        3.897
       1.237 |        1.254 |        2.492
       0.154 |        1.401 |        1.554
       0.130 |        3.314 |        3.444
       0.202 |        0.675 |        0.877
       0.129 |        1.739 |        1.869
       1.665 |        1.061 |        2.726
       0.726 |        0.691 |        1.417
       0.487 |        2.208 |        2.695
       2.357 |        0.724 |        3.081
       0.160 |        4.970 |        5.130
       1.684 |        1.024 |        2.708
       2.553 |        1.476 |        4.029
       1.132 |        0.654 |        1.786
       0.188 |        0.820 |        1.008
       0.198 |        1.120 |        1.319
       1.290 |        1.854 |        3.144
       1.601 |        4.656 |        6.257
       4.957 |        0.731 |        5.687
       5.108 |        5.045 |       10.153
       5.676 |        1.924 |        7.600
       7.115 |        2.992 |       10.107
       5.898 |        1.582 |        7.480
       5.912 |        1.326 |        7.238
       6.012 |        2.824 |        8.836
       7.878 |        4.258 |       12.136
       6.135 |        1.030 |        7.165
       5.384 |        0.610 |        5.994
       5.614 |        1.163 |        6.778
       0.190 |        0.713 |        0.902
       0.195 |        0.836 |        1.031
       0.191 |        0.989 |        1.180
       0.419 |        1.063 |        1.481
       0.186 |        1.017 |        1.203
       1.129 |        1.169 |        2.299
       0.228 |        2.746 |        2.974
       1.046 |        4.214 |        5.261
       4.390 |        0.839 |        5.229
       4.097 |        0.953 |        5.050
       0.197 |        3.630 |        3.827
       1.211 |        1.121 |        2.332
       0.160 |        1.635 |        1.795
       0.112 |        0.779 |        0.891
       0.172 |        1.202 |        1.374
       0.189 |        3.690 |        3.879
       3.817 |        1.161 |        4.977
       4.724 |        0.874 |        5.597
       3.469 |        2.130 |        5.599
       3.043 |        1.042 |        4.085
       0.202 |        1.801 |        2.003
       0.187 |        2.398 |        2.585
       2.173 |        0.993 |        3.166
       0.185 |        2.322 |        2.507
       0.194 |        0.800 |        0.994
       0.193 |        0.671 |        0.865
       0.212 |        1.250 |        1.462
       1.316 |        0.982 |        2.297
       1.198 |        0.571 |        1.769
       1.337 |        1.663 |        3.001
       2.249 |        0.634 |        2.883
       0.815 |        1.098 |        1.913
       0.316 |        0.583 |        0.899
       0.181 |        2.487 |        2.668
       0.197 |        1.044 |        1.240
       1.284 |        4.028 |        5.312
       5.140 |        2.893 |        8.033
       8.061 |        0.720 |        8.781
       0.168 |        0.823 |        0.992
       0.196 |        1.245 |        1.441
       0.544 |        1.336 |        1.880
       0.190 |        0.734 |        0.924
       0.325 |        0.631 |        0.956
       0.164 |        0.861 |        1.025
       0.531 |        0.696 |        1.227
       0.182 |        0.584 |        0.766
       0.193 |        2.004 |        2.198
       0.842 |        0.527 |        1.368
       0.780 |        2.680 |        3.460
       0.194 |        0.711 |        0.905
       0.194 |        1.104 |        1.298
       0.969 |        0.954 |        1.923
       1.341 |        0.630 |        1.971
       1.617 |        2.082 |        3.699
       0.875 |        0.842 |        1.717
       0.187 |        1.520 |        1.707
       1.003 |        1.957 |        2.960
       0.194 |        0.824 |        1.018
       0.499 |        1.070 |        1.569
       1.189 |        0.574 |        1.763
       1.612 |        0.394 |        2.006
       0.190 |        1.418 |        1.608
       0.557 |        1.515 |        2.073
       1.009 |        0.920 |        1.929
       1.541 |        0.938 |        2.478
       0.685 |        1.830 |        2.514
       0.193 |        2.723 |        2.916
       0.197 |        1.540 |        1.737
       0.196 |        1.561 |        1.756
       0.194 |        1.085 |        1.279
       0.194 |        3.165 |        3.359
       0.199 |        2.443 |        2.642
       1.546 |        0.975 |        2.521
       2.492 |        1.455 |        3.946
       3.007 |        2.101 |        5.108
       2.931 |        0.717 |        3.647
       0.193 |        0.691 |        0.884
       0.207 |        2.921 |        3.128
       0.199 |        1.208 |        1.407
       0.197 |        3.214 |        3.411
       3.093 |        1.041 |        4.134
       3.754 |        0.602 |        4.357
       1.915 |        2.696 |        4.611
       0.191 |        0.935 |        1.125
       0.197 |        2.592 |        2.789
       0.946 |        3.994 |        4.940
       3.842 |        0.950 |        4.792
       2.808 |        0.511 |        3.319
       2.467 |        0.842 |        3.309
       1.196 |        1.653 |        2.848
       2.340 |        1.079 |        3.418
       0.198 |        3.590 |        3.788
       1.848 |        1.505 |        3.353
       3.299 |        4.270 |        7.570
       3.994 |        1.792 |        5.787
       4.170 |        0.632 |        4.802
       0.976 |        1.776 |        2.752
       2.728 |        2.334 |        5.062
       0.198 |        1.435 |        1.632
       0.186 |        1.190 |        1.376
       0.401 |        2.464 |        2.865
       4.183 |        3.571 |        7.753
       1.976 |        1.642 |        3.618
       3.049 |        0.933 |        3.982
       3.445 |        0.854 |        4.299
       3.667 |        1.079 |        4.746
       4.202 |        0.871 |        5.074
       4.929 |        0.607 |        5.536
       0.182 |        2.800 |        2.982
       1.141 |        3.552 |        4.692
       3.587 |        1.744 |        5.331
       4.565 |        0.988 |        5.552
       4.060 |        1.037 |        5.097
       3.410 |        1.755 |        5.165
       0.184 |        0.766 |        0.950
       0.193 |        1.614 |        1.807
       1.068 |        2.866 |        3.934
       3.534 |        0.567 |        4.101
       0.202 |        1.148 |        1.350
       0.194 |        1.339 |        1.533
       0.196 |        0.623 |        0.820
       0.761 |        0.781 |        1.542
       1.111 |        1.255 |        2.366
       1.579 |        0.736 |        2.315
       0.358 |        1.505 |        1.863
       1.932 |        1.128 |        3.061
       2.966 |        0.934 |        3.899
       1.612 |        1.321 |        2.933
       2.458 |        0.865 |        3.323
       0.993 |        2.297 |        3.290
       2.118 |        4.915 |        7.032
       5.564 |        2.624 |        8.188
       4.934 |        4.701 |        9.635
       9.273 |        0.678 |        9.951
       9.714 |        0.967 |       10.681
       2.044 |        3.228 |        5.272
       4.950 |        0.756 |        5.706
       5.390 |        2.265 |        7.655
       2.105 |        0.647 |        2.752
       0.449 |        2.324 |        2.772
       2.699 |        0.709 |        3.408
       2.781 |        0.690 |        3.471
       3.026 |        1.102 |        4.129
       3.981 |        2.296 |        6.277
       4.654 |        2.238 |        6.892
       4.033 |        2.187 |        6.220
       5.863 |        3.422 |        9.285
       3.377 |        0.423 |        3.800
       3.157 |        0.987 |        4.144
       3.479 |        0.503 |        3.982
       3.367 |        2.363 |        5.730
       3.125 |        2.557 |        5.682
       5.055 |        1.024 |        6.079
       5.857 |        1.040 |        6.898
       7.068 |        1.780 |        8.848
       3.772 |        2.492 |        6.264
       3.369 |        1.015 |        4.384
       3.646 |        0.712 |        4.357
       0.178 |        2.336 |        2.513
       1.735 |        2.031 |        3.766
       3.223 |        4.380 |        7.603
       1.887 |        0.655 |        2.542
       0.170 |        0.850 |        1.020
       0.182 |        1.639 |        1.822
       1.816 |        0.624 |        2.440
       0.192 |        3.475 |        3.667
       1.138 |        0.704 |        1.842
       0.190 |        0.856 |        1.046
       0.841 |        1.840 |        2.680
       0.188 |        0.801 |        0.989
       0.221 |        1.707 |        1.928
       0.269 |        0.812 |        1.081
       1.098 |        4.368 |        5.466
       5.053 |        2.752 |        7.805
       5.798 |        1.261 |        7.059
       0.191 |        0.700 |        0.891
       0.192 |        1.498 |        1.690
       0.196 |        0.773 |        0.968
       0.223 |        0.703 |        0.925
       0.187 |        1.474 |        1.661
       1.026 |        1.327 |        2.353
       1.011 |        1.479 |        2.490
       2.264 |        0.713 |        2.977
       1.578 |        1.310 |        2.889
       1.384 |        2.573 |        3.956
      15.233 |        2.503 |       17.737
      10.607 |        3.593 |       14.199
       9.345 |        3.498 |       12.843
      10.071 |        0.693 |       10.764
       8.228 |        1.127 |        9.355
       5.772 |        1.280 |        7.052
       4.731 |        0.717 |        5.448
       3.394 |        1.403 |        4.798
       1.740 |        1.257 |        2.997
       0.189 |        0.872 |        1.061
       0.190 |        4.176 |        4.367
       1.641 |        1.242 |        2.883
       2.352 |        0.547 |        2.898
       0.196 |        4.537 |        4.733
       4.245 |        0.747 |        4.991
       4.608 |        0.880 |        5.488
       2.241 |        1.119 |        3.360
       1.699 |        1.437 |        3.136
       0.164 |        3.077 |        3.241
       3.248 |        2.753 |        6.001
       3.336 |        0.528 |        3.864
       3.602 |        1.367 |        4.969
       1.231 |        2.332 |        3.563
       2.129 |        0.766 |        2.895
       2.515 |        0.906 |        3.421
       1.171 |        0.735 |        1.906
       0.188 |        1.625 |        1.812
       0.205 |        4.358 |        4.563
       4.040 |        0.997 |        5.037
       3.400 |        0.739 |        4.140
       1.146 |        1.418 |        2.564
       1.291 |        0.509 |        1.800
       0.195 |        3.146 |        3.341
       2.880 |        4.240 |        7.120
       0.723 |        0.770 |        1.493
       0.191 |        0.817 |        1.008
       0.188 |        0.933 |        1.121
       0.215 |        2.655 |        2.870
       0.652 |        1.131 |        1.783
       1.362 |        0.750 |        2.112
       0.189 |        0.746 |        0.935
       0.194 |        1.584 |        1.778
       1.796 |        0.674 |        2.470
       2.332 |        3.565 |        5.897
       0.228 |        0.641 |        0.869
       0.180 |        1.808 |        1.988
       0.912 |        2.089 |        3.001
       0.169 |        0.675 |        0.844
       0.150 |        4.065 |        4.215
       3.234 |        3.718 |        6.952
       4.388 |        2.721 |        7.109
       5.983 |        0.722 |        6.705
       6.375 |        2.172 |        8.547
       8.393 |        0.733 |        9.126
       6.828 |        4.510 |       11.338
       9.258 |        4.906 |       14.163
      12.821 |        0.697 |       13.517
      11.072 |        1.703 |       12.775
       9.815 |        4.932 |       14.747
      14.077 |        2.336 |       16.413
      11.971 |        1.491 |       13.462
      10.892 |        0.666 |       11.558
       8.326 |        0.812 |        9.138
       8.168 |        2.696 |       10.864
       2.491 |        1.423 |        3.913
       1.683 |        1.013 |        2.696
       2.657 |        0.689 |        3.346
       1.363 |        1.053 |        2.416
       1.559 |        0.846 |        2.405
       0.730 |        1.263 |        1.993
       1.128 |        0.921 |        2.049
       2.045 |        1.274 |        3.319
       0.187 |        2.442 |        2.629
       1.266 |        0.573 |        1.839
       1.925 |        1.182 |        3.107
       1.568 |        1.485 |        3.054
       1.615 |        0.818 |        2.433
       0.195 |        0.701 |        0.897
       0.190 |        0.653 |        0.843
       0.192 |        2.445 |        2.637
       0.954 |        1.638 |        2.593
       1.763 |        2.780 |        4.543
       0.186 |        4.022 |        4.208
       3.224 |        4.234 |        7.458
       2.473 |        0.850 |        3.322
       3.044 |        3.623 |        6.666
       6.671 |        0.835 |        7.507
       2.408 |        1.786 |        4.194
       3.976 |        0.955 |        4.931
       0.184 |        2.663 |        2.847
       0.193 |        3.988 |        4.180
       0.210 |        3.980 |        4.190
       0.197 |        3.803 |        3.999
       2.968 |        0.834 |        3.801
       3.186 |        0.971 |        4.157
       2.173 |        0.686 |        2.859
       2.742 |        4.622 |        7.364
       6.756 |        1.560 |        8.317
       1.699 |        0.948 |        2.647
       0.972 |        1.156 |        2.127
       1.026 |        3.794 |        4.820
       1.339 |        0.827 |        2.166
       0.183 |        3.224 |        3.407
       1.980 |        1.947 |        3.927
       1.954 |        1.190 |        3.144
       0.150 |        2.051 |        2.201
       0.195 |        2.417 |        2.612
       0.193 |        0.864 |        1.057
       0.208 |        2.474 |        2.682
       0.193 |        0.688 |        0.882
       0.184 |        0.897 |        1.081
       0.197 |        2.505 |        2.701
       0.939 |        0.380 |        1.319
       1.291 |        4.285 |        5.576
       4.203 |        1.174 |        5.378
       0.188 |        2.045 |        2.232
       0.199 |        4.921 |        5.120
       3.460 |        0.911 |        4.371
       4.181 |        3.000 |        7.180
       0.139 |        3.800 |        3.939
       0.894 |        1.419 |        2.313
       0.562 |        4.741 |        5.304
       5.143 |        3.502 |        8.645
       7.518 |        0.704 |        8.222
       7.077 |        0.681 |        7.758
       7.308 |        3.169 |       10.477
      10.259 |        5.049 |       15.307
       7.646 |        2.884 |       10.530
       9.257 |        0.590 |        9.847
       7.515 |        3.500 |       11.016
      10.492 |        0.814 |       11.306
       9.835 |        1.240 |       11.075
       9.939 |        1.220 |       11.158
       7.592 |        0.631 |        8.223
       7.996 |        1.392 |        9.389
       6.486 |        0.684 |        7.170
       6.561 |        2.439 |        9.000
       8.541 |        2.822 |       11.363
       7.237 |        1.330 |        8.567
       7.866 |        0.806 |        8.673
       6.601 |        0.828 |        7.429
       6.687 |        0.962 |        7.649
       6.196 |        0.788 |        6.984
       6.886 |        0.691 |        7.576
       1.457 |        0.861 |        2.319
       0.148 |        1.015 |        1.164
       0.195 |        2.777 |        2.972
       1.914 |        3.714 |        5.629
       0.965 |        0.639 |        1.604
       0.189 |        5.321 |        5.511
       0.674 |        2.816 |        3.490
       0.190 |        0.941 |        1.131
       1.145 |        1.090 |        2.235
       1.173 |        3.585 |        4.758
       2.338 |        0.915 |        3.252
       0.186 |        0.933 |        1.118
       0.420 |        0.729 |        1.149
       0.182 |        1.514 |        1.696
       1.346 |        2.171 |        3.517
       1.872 |        4.370 |        6.242
       5.378 |        4.317 |        9.695
       1.119 |        4.197 |        5.316
       3.224 |        1.643 |        4.867
       1.759 |        0.891 |        2.650
       0.187 |        0.980 |        1.167
       0.194 |        1.181 |        1.375
       0.158 |        3.199 |        3.357
       0.194 |        2.176 |        2.370
       0.585 |        1.804 |        2.390
       0.184 |        2.693 |        2.877
       0.188 |        3.368 |        3.556
       2.794 |        1.902 |        4.696
       1.339 |        0.918 |        2.257
       0.913 |        2.260 |        3.174
       0.231 |        3.122 |        3.353
       3.066 |        0.688 |        3.754
       0.888 |        0.747 |        1.635
       0.806 |        1.369 |        2.175
       1.501 |        0.838 |        2.339
       0.163 |        0.728 |        0.891
       0.873 |        2.419 |        3.292
       1.676 |        0.873 |        2.549
       2.277 |        0.843 |        3.120
       1.814 |        3.534 |        5.348
       3.735 |        2.236 |        5.971
       4.983 |        2.679 |        7.663
       7.569 |        0.532 |        8.101
       6.834 |        0.684 |        7.518
       5.208 |        0.838 |        6.047
       4.667 |        1.317 |        5.984
       4.618 |        1.872 |        6.490
       6.239 |        1.234 |        7.473
       5.897 |        1.949 |        7.846
       5.765 |        2.085 |        7.851
       7.679 |        1.225 |        8.904
       7.719 |        1.540 |        9.259
