Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:25         12     55.10      0.00     11.73      0.00      0.00     33.16
18:33:25         14     57.22      0.00     10.31      0.00      0.00     32.47
18:33:25         16     53.54      0.00     13.64      0.00      0.00     32.83
18:33:25         18     53.61      0.00     13.40      0.00      0.00     32.99
18:33:25         20     55.50      0.00     12.50      0.00      0.00     32.00
18:33:25         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:27          0     52.31      0.00     14.36      0.00      0.00     33.33
18:33:27          2     52.79      0.00     15.23      0.00      0.00     31.98
18:33:27          4     52.79      0.00     14.72      0.00      0.00     32.49
18:33:27          6     54.50      0.00     13.00      0.00      0.00     32.50
18:33:27          8     50.52      0.00     16.49      0.00      0.00     32.99
18:33:27         10     52.20      0.00     16.10      0.00      0.00     31.71
18:33:27         12     54.23      0.00     14.93      0.00      0.00     30.85
18:33:27         14     52.82      0.00     13.85      0.00      0.00     33.33
18:33:27         16     49.48      0.00     17.19      0.00      0.00     33.33
18:33:27         18     57.00      0.00     11.50      0.00      0.00     31.50
18:33:27         20     53.73      0.00     13.93      0.00      0.00     32.34
18:33:27         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:29          0     54.73      0.00     13.43      0.00      0.00     31.84
18:33:29          2     55.05      0.00     13.13      0.00      0.00     31.82
18:33:29          4     56.00      0.00     12.50      0.00      0.00     31.50
18:33:29          6     54.31      0.00     13.71      0.00      0.00     31.98
18:33:29          8     55.10      0.00     12.76      0.00      0.00     32.14
18:33:29         10     54.36      0.00     12.82      0.00      0.00     32.82
18:33:29         12     56.06      0.00     12.12      0.00      0.00     31.82
18:33:29         14     53.93      0.00     13.09      0.00      0.00     32.98
18:33:29         16     53.81      0.00     13.20      0.00      0.00     32.99
18:33:29         18     52.82      0.00     13.85      0.00      0.00     33.33
18:33:29         20     55.33      0.00     12.18      0.00      0.00     32.49
18:33:29         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:31          0     54.36      0.00     13.33      0.00      0.00     32.31
18:33:31          2     53.06      0.00     14.29      0.00      0.00     32.65
18:33:31          4     53.03      0.00     14.14      0.00      0.00     32.83
18:33:31          6     55.72      0.00     11.44      0.00      0.00     32.84
18:33:31          8     56.44      0.00     11.88      0.00      0.00     31.68
18:33:31         10     52.79      0.00     14.21      0.00      0.00     32.99
18:33:31         12     57.64      0.00     11.82      0.00      0.00     30.54
18:33:31         14     53.30      0.00     14.21      0.00      0.00     32.49
18:33:31         16     53.23      0.00     14.43      0.00      0.00     32.34
18:33:31         18     58.88      0.00      9.64      0.00      0.00     31.47
18:33:31         20     51.79      0.00     15.38      0.00      0.00     32.82
18:33:31         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:31        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:33          0     54.69      0.00     12.50      0.00      0.00     32.81
18:33:33          2     54.87      0.00     13.33      0.00      0.00     31.79
18:33:33          4     55.33      0.00     12.69      0.00      0.00     31.98
