  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       9.000 |        8.680 |        0.619 |        9.300
      14.000 |        8.469 |        2.237 |       10.707
       5.000 |        8.269 |        1.612 |        9.881
       8.000 |        9.005 |        0.440 |        9.444
       6.000 |        8.969 |        0.570 |        9.539
       8.000 |        8.657 |        0.547 |        9.204
       6.000 |        8.610 |        1.711 |       10.321
       6.000 |        8.774 |        0.467 |        9.241
       6.000 |        8.802 |        1.258 |       10.059
      10.000 |        8.910 |        1.243 |       10.154
       8.000 |        9.042 |        1.094 |       10.136
       8.000 |        8.561 |        0.335 |        8.897
       9.000 |        8.659 |        0.488 |        9.148
       7.000 |        8.641 |        0.408 |        9.049
      11.000 |        8.741 |        1.663 |       10.403
      10.000 |        8.949 |        1.028 |        9.978
      12.000 |        8.541 |        0.886 |        9.426
       7.000 |        8.834 |        1.662 |       10.497
       6.000 |        8.832 |        1.596 |       10.429
       6.000 |        9.210 |        0.437 |        9.647
       8.000 |        9.222 |        0.505 |        9.727
      13.000 |        9.085 |        0.518 |        9.604
       9.000 |        8.501 |        0.364 |        8.865
       8.000 |        8.518 |        0.528 |        9.046
       7.000 |        8.889 |        1.584 |       10.473
       9.000 |        8.538 |        0.821 |        9.359
       5.000 |        9.085 |        1.121 |       10.206
      13.000 |        8.597 |        2.526 |       11.123
       5.000 |        8.686 |        0.877 |        9.563
      10.000 |        8.466 |        0.336 |        8.802
       5.000 |        8.486 |        0.743 |        9.229
      10.000 |        8.301 |        1.048 |        9.349
       3.000 |        9.144 |        1.981 |       11.125
       7.000 |        8.505 |        0.863 |        9.368
       4.000 |        8.410 |        0.521 |        8.931
      12.000 |        8.489 |        0.442 |        8.930
       6.000 |        8.295 |        0.850 |        9.145
       4.000 |        8.570 |        0.585 |        9.156
       6.000 |        8.491 |        1.245 |        9.736
      10.000 |        8.771 |        0.661 |        9.432
      12.000 |        8.872 |        0.472 |        9.343
      10.000 |        8.969 |        0.416 |        9.385
       4.000 |        8.856 |        0.745 |        9.601
       8.000 |        8.761 |        1.042 |        9.804
       7.000 |        8.545 |        1.420 |        9.965
      13.000 |        8.748 |        1.323 |       10.071
       9.000 |        9.183 |        0.697 |        9.880
      12.000 |        9.367 |        0.481 |        9.848
       5.000 |        9.531 |        0.356 |        9.887
       7.000 |        9.155 |        0.877 |       10.032
      10.000 |        9.049 |        0.669 |        9.717
      13.000 |        8.511 |        0.319 |        8.831
       9.000 |        8.650 |        0.738 |        9.388
      17.000 |        8.467 |        0.650 |        9.117
       5.000 |        8.527 |        0.389 |        8.916
      13.000 |        8.475 |        0.532 |        9.007
      11.000 |        8.650 |        0.503 |        9.154
       9.000 |        8.783 |        1.353 |       10.136
      10.000 |        8.642 |        0.330 |        8.973
       9.000 |        8.768 |        1.581 |       10.349
       6.000 |        8.778 |        0.619 |        9.397
